Timestamp,Do you agree to participate in this Research?,Please select your age range.,Gender,Civil Status,Nationality/Country of Origin,Highest Educational Attainment,Length of Stay in New Zealand,Type of Job Industry,Tenure in Current Organization,Role / Position,Monthly Income (NZD),My employer ensures that my contributions in the company are appreciated and recognized.  ,I am highly valued by my supervisors; all my outputs are given high regard and appreciation. ,I am regularly rewarded when I meet work targets and deadlines on time. ,"I am confident that my inputs in the organization are as much appreciated as that of my colleagues, and this is what is encouraging me to keep delivering my best.",My employer is open and respectful of my ideas and guarantees that my inputs are meaningful to the improvement of the organization.,My supervisor is always accessible when I need assistance regarding work or performance. ,"I am heard when I communicate my concerns and suggestions, and they consider my contributions. ",I am motivated to deal with challenging work to improve my organizational skills and be open to various opportunities at work. ,I am encouraged to perform at my best when confronted with challenges in the workplace.,I am encouraged to join a professional development opportunity to expand my potential and organizational skills. ,I am provided with the adequate tools and resources to do my job effectively. ,I feel my workload is reasonable and manageable because of the assurance of quality working conditions. ,My workplace ensures that I work in a healthy environment that is free from toxicity and unnecessary distractions. ,I am encouraged to be independent and exercise autonomy in relation to my work tasks without much supervision. ,I enjoy working in a systematic and highly organized environment where I can work with ease and ensure goal attainment. ,I experience fair treatment in my workplace regardless of my background or my nationality.,I have experienced consistent enforcement of organizational policies on all employees.,I attest that the promotion and reward systems given to all employees are transparent and free of bias.,I witness how the organization promotes diversity and inclusion in the workplace all the time. ,I find that disputes are supposed to be resolved in a fair and impartial manner.,I am happy about how meaningful my work is.,I am capable of efficient application of my skills and knowledge in my work.,I also achieve self-improvement and maturity at work.,I am passionate and inspired in what I do.,I feel accomplished and gratified with my work.,I am satisfied with the compensation and benefits programs of the company. ,I feel secure at the job I hold.,I am offered the chance of promotion and career development.,I am satisfied that the demands of the work environment and time reflect my personal and professional requirements.,I think the organization rewards performance and effort adequately.,Do you meet all of the eligibility criteria to participate in this survey?,Column 42
1/8/2026 17:07:01,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,South Korea,Master's Degree,1 - 2 years,Healthcare,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 17:08:20,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 17:11:50,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 17:13:36,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 17:24:29,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Male,Single,Latin,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 17:25:05,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Female,Single,nepalese,Master's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 17:27:19,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Single,Indian / India,Master's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 17:29:29,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Male,Single,New Zealander / New Zealand,Master's Degree,3 - 4 years,Healthcare,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 17:31:23,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Nepalese ,Master's Degree,1 - 2 years,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 17:36:16,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,nepal,Master's Degree,3 - 4 years,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 17:36:47,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Indian / India,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,Executive Level (Top level of Leadership),"$2,001 - $3,000",Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:07:27,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Widow/Widower,Chinese / China,Master's Degree,3 - 4 years,Business / Finance,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:07:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I do not meet the eligibility criteria.",
1/8/2026 18:08:22,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Chinese / China,Bachelor's Degree,Less than 1 year,Education,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:09:04,ACCEPT. I have read and understood the information above and agree to participate.,20 - 24 years old,Male,Married,Chinese / China,Master's Degree,5 years and above,Education,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:09:30,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Chinese / China,Bachelor's Degree,Less than 1 year,Information Technology,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:09:39,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Married,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Information Technology,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:10:17,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Single,Malaysia,Master's Degree,3 - 4 years,Others,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:11:48,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Indian / India,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,Executive Level (Top level of Leadership),"$4,0001 - $5,000",Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:12:55,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:13:04,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Married,Taiwan,Master's Degree,1 - 2 years,Education,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:13:55,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Indian / India,Master's Degree,1 - 2 years,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",Neutral,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:14:22,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:37:10,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Information Technology,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:49:49,ACCEPT. I have read and understood the information above and agree to participate.,40 and above,Female,Single,Filipino / Philippines,Master's Degree,1 - 2 years,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 18:51:45,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Male,Married,Bhutanese / Bhutan,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 19:03:29,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Married,Sri Lankan / Sri Lanka,Others,Less than 1 year,Business / Finance,4 years and above,Executive Level (Top level of Leadership),"Below $2,000",Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 19:06:37,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,3 - 4 years,Education,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",Disagree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 19:08:59,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Thai,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 19:09:54,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Female,Single,Vietnamese,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 19:11:03,ACCEPT. I have read and understood the information above and agree to participate.,25 - 29 years old,Male,Married,Samoan,Doctorate Degree,5 years and above,Information Technology,Less than 6 months,Executive Level (Top level of Leadership),"Above $5,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 19:23:22,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Male,Married,Indian / India,Bachelor's Degree,1 - 2 years,Others,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 19:41:08,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Female,Married,Bangladesh ,Master's Degree,1 - 2 years,Healthcare,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 22:30:35,ACCEPT. I have read and understood the information above and agree to participate.,30 - 34 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,5 years and above,Information Technology,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, I confirm that I meet all of the eligibility criteria.",
1/8/2026 22:36:58,ACCEPT. I have read and understood the information above and agree to participate.,35 - 39 years old,Male,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Information Technology,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,"Yes, I confirm that I meet all of the eligibility criteria.",
